name,school_type,establishment,education_office,homepage,zipcode,address,address_detail,sido,sigungu,sublocal,departments,track_auto,school_code,phone_principal,phone_academic,phone_admin,phone_career,fax
서울공업고등학교,특성화고,공립,서울특별시교육청,seoul-th.sen.hs.kr,06955,서울특별시 동작구 대방동1길 46,서울공업고등학교,서울특별시,동작구,대방동1길,07 신재생에너지과 / 11 그래픽아트과 / 04 자동차과 / 10 섬유디자인과 / 08 토목건축과 / 09 바이오화공과 / 05 스마트자동화과 / 01 스마트기계 / 02 스마트용접설비과 / 05 친환경에너지전기과 / 06 전자과 / 03 미래자동차 / 12 세라믹아트과,공업계/IT,B100000588,02-2082-1803,02-2082-1814,02-2082-1812,02-2082-1901,02-825-2033
서울관광고등학교,특성화고,사립,서울특별시교육청,seoul-tour.sen.hs.kr,151826,서울특별시 관악구 봉천동 은천로15길,25 서울관광고등학교,서울특별시,관악구,봉천동,외식조리과 / 관광서비스과 / 카페경영과,상업계,B100000630,02-6292-5202,02-6292-5277,02-6292-5203,02-6292-5283,02-872-9170
서울금융고등학교,특성화고,공립,서울특별시교육청,seoulfc.sen.hs.kr,158823,서울특별시 양천구 신월동 가로공원로61길,서울금융고등학교,서울특별시,양천구,신월동,금융과 / 소프트웨어과 / 스타트업과 / 브랜딩 디자인과 / 반려동물과,공업계/IT,B100000642,02-2694-1371,02-2694-8834,02-2694-3710,02-2693-1126 (fax)02-2697-6801,02-2694-3604
서울도시과학기술고등학교,마이스터고,공립,서울특별시교육청,sust.sen.hs.kr,136858,서울특별시 성북구 종암동 종암로,196,서울특별시,성북구,종암동,해외플랜트산업설비 / 에코공정플랜트과 / 해외건설전기통신 / 해외시설물건설,공업계/IT,B100000590,02-940-2503,02-940-2500,02-940-2680,02-940-2550~6,02-940-2507
서울동구고등학교,특성화고,사립,서울특별시교육청,www.donggoo.hs.kr,02834,서울특별시 성북구 성북로8길 71,서울동구고등학교,서울특별시,성북구,성북로8길,디자인과 / 공연예술과 / 스마트금융경영 / 콘텐츠크리에이터,공업계/IT,B100000605,02-2170-8610,02-2170-8630,02-2170-8681,02-2170-8665,02-765-1357
서울동산고등학교,특성화고,사립,서울특별시교육청,seouldongsan.sen.hs.kr,01832,서울특별시 노원구 공릉로 257,서울동산고등학교,서울특별시,노원구,공릉로,보건간호과 / 영유아보육과 / 뷰티아트과 / 외식조리과 / 음악영상콘텐츠과 / 스포츠경영과,공업계/IT,B100000651,070-4614-5004,02-971-0231~3,02-971-0903~4,"070-4614-5053, 5101, 5109",02-973-3052
서울디자인고등학교,특성화고,사립,서울특별시교육청,seodi.sen.hs.kr,121873,서울특별시 마포구 염리동 백범로,139번지,서울특별시,마포구,염리동,영상디자인과 / 패션디자인과 / 3D건축인테리어과 / 패션액세서리디자인과 / 푸드스타일디자인과 / 사운드뮤직디자인과 / 웹툰콘텐츠과 / 크리에이티브디자인과,공업계/IT,B100000583,070-8662-6016,02-715-2262,02-716-8211,02-716-0533,02-716-6967
서울디지털콘텐츠고등학교,특성화고,공립,서울특별시교육청,sdcont.sen.hs.kr/,157220,서울 강서구 방화동,방화대로47길9,서울특별시,강서구,방화동,건축과 / 스마트케미칼과 / VR콘텐츠디자인과 / 스마트정보통신과 / 바이오환경에너지 / 영상콘텐츠디자인,공업계/IT,B100000578,02-2064-4701,02-2064-4716,02-2064-4801~6,02-2064-4751~3,02-2664-8488
서울디지텍고등학교,특성화고,사립,서울특별시교육청,sdh.hs.kr,04346,서울특별시 용산구 회나무로12길 27,서울디지텍고등학교,서울특별시,용산구,회나무로12길,게임콘텐츠과 / VR콘텐츠과 / 인공지능소프트웨어과 / 빅데이터과 / 게임융합계열 / 게임개발과,공업계/IT,B100000589,02-798-3641,02-798-3641~3,02-798-3642,02-798-3641(311~313),02-794-0822
서울로봇고등학교,마이스터고,공립,서울특별시교육청,srobot.sen.hs.kr,135230,서울특별시 강남구 일원동 광평로20길,63 서울로봇고등학교,서울특별시,강남구,일원동,첨단로봇설계과 / 첨단로봇제어과 / 첨단로봇시스템과 / 첨단로봇정보통신과 / 로봇설계과 / 로봇제어과 / 로봇소프트웨어과 / 로봇정보통신과,공업계/IT,B100000577,02-3016-0100,02-3016-0110,02-2226-5344,02-3016-0170,02-2226-5348
서울매그넷고등학교,특성화고,사립,서울특별시교육청,seoulmagnet.sen.hs.kr,153030,서울특별시 금천구 시흥동 탑골로10길,45 (시흥2동 산 100-4번지),서울특별시,금천구,시흥동,관광경영과 / 베이커리과 / 스마트콘텐츠과 / 금융세무과 / 시각애니메이션과 / 시각디자인과,공업계/IT,B100000426,02-808-0293,"02-807-6333(302,306,312,319)",02-803-9805,"02-894-5467(직),070-7731-2754",02-891-9757
서울문화고등학교,특성화고,공립,서울특별시교육청,seoulculture.sen.hs.kr,132854,서울특별시 도봉구 방학동 마들로,598 서울문화고등학교,서울특별시,도봉구,방학동,광고마케팅과 / 엔터테인먼트과 / IOT(사물인터넷)과 / 콘텐츠디자인과 / 스마트행정과 / 스마트소프트웨어 / 영상크리에이터과,공업계/IT,B100000637,02-955-9100,02-955-9100,02-955-9100,02-955-9101,02-3491-7697
서울반도체고등학교,특성화고,공립,서울특별시교육청,ssc.sen.hs.kr,130874,서울특별시 동대문구 휘경동 겸재로,21 서울반도체고등학교,서울특별시,동대문구,휘경동,전기제어과 / 친환경자동차과 / 인공지능산업과 / 스마트전자과 / 도시공간건설과,공업계/IT,B100000602,02-2230-9800,02-2230-9802,02-2230-9880,02-2230-9861,02-2247-3362
서울방송고등학교,특성화고,공립,서울특별시교육청,seb.hs.kr,133846,서울특별시 성동구 옥수동 동호로5길,서울방송고등학교,서울특별시,성동구,옥수동,방송연예공연과 / 미디어콘텐츠과 / 방송영상과 / 방송시스템과,공업계/IT,B100000585,02-3399-0505,02-3399-0520,02-3399-0511,02-3399-0562,02-2299-0264
서울백영고등학교,특성화고,사립,서울특별시교육청,sby.sen.hs.kr,157220,서울 강서구 방화동,방화대로 34길13,서울특별시,강서구,방화동,항공비즈니스과 / 국제조리과 / 디저트제과제빵과 / 미디어콘텐츠과 / 방송영상과 / 웹툰제작과,공업계/IT,B100000646,02-2665-0101,02-2665-0935,02-2665-5900,070-8871-7785,02-2665-1190
서울신정고등학교,특성화고,사립,서울특별시교육청,shinjeong.sen.hs.kr/,07736,서울특별시 강서구 등촌로13아길 20,서울신정고등학교,서울특별시,강서구,등촌로13아길,관광서비스과 / 외식조리과 / 생활체육과 / 웹크리에이터과 / 베이커리과 / 푸드조리과,서비스/생활,B100000610,02-2653-6297,02-2644-3542~3,02-2644-3542~3,02-6372-2886,02-2062-0727
서울아이티고등학교,특성화고,사립,서울특별시교육청,seoulit.sen.hs.kr,01773,서울특별시 노원구 섬밭로 299,(중계동),서울특별시,노원구,섬밭로,스마트웹콘텐츠과 / 폴리메카닉스과 / 컴퓨터전기전자과 / 네트워크보안솔루션과 / 3D모델링과 / 스마트융합스포츠과 / 애니메이션디자인과 / 스마트크리에이터과,공업계/IT,B100000599,070-7606-4800,02-948-1901,02-949-0387,070-7606-4835,02-973-5436
서울여자상업고등학교,특성화고,사립,서울특별시교육청,sys.sen.hs.kr,151723,서울특별시 관악구 봉천동 관악로,85,서울특별시,관악구,봉천동,국제통상과 / 공통과정(전문계) / 금융경제과 / 재무경영과,상업계,B100000607,02-873-3613,02-873-3614,02-873-3613,02-878-3626,02-873-3620
서울영상고등학교,특성화고,사립,서울특별시교육청,youngsang.sen.hs.kr,08021,서울특별시 양천구 목동로11길 46,서울영상고등학교,서울특별시,양천구,목동로11길,영상경영과 / 영상미디어과 / 영상콘텐츠과 / 영상프로듀스과,공업계/IT,B100000500,02-6002-9400,02-6002-9413,02-6002-9401,02-6002-9482,02-2606-1804
서울웹툰애니메이션고등학교,특성화고,공립,서울특별시교육청,swas.sen.hs.kr,137853,서울특별시 서초구 방배동 과천대로,852-23,서울특별시,서초구,방배동,게임콘텐츠과 / 웹툰애니메이션과 / 웹툰과 / 애니메이션과,공업계/IT,B100000657,02-6011-4101,02-6011-4109,02-6011-4100,02-6011-4141,02-522-4061
서울의료보건고등학교,특성화고,사립,서울특별시교육청,smh.sen.hs.kr,04502,서울특별시 중구 만리재로37길 30,",(만리동1가)",서울특별시,중구,만리재로37길,보건간호과,서비스/생활,B100000604,02-392-8888,02-392-5554,02-392-6666,02-392-5553,02-363-7153
서울인공지능고등학교,특성화고,공립,서울특별시교육청,seoulai.sen.hs.kr/,05771,서울특별시 송파구 양산로 21,서울인공지능고등학교,서울특별시,송파구,양산로,전기정보과 / 하이텍디자인과 / AI컴퓨터과 / AI전자 / 전기에너지과,공업계/IT,B100000593,02-6711-0500,02-6711-0410,02-6711-0508,02-6711-3460,02-6711-0538
서울정화고등학교,특성화고,사립,서울특별시교육청,jeonghwa.sen.hs.kr/,02480,서울특별시 동대문구 홍릉로15길 50,서울정화고등학교,서울특별시,동대문구,홍릉로15길,사회복지사무관리과 / 부사관과 / 뷰티디자인과 / 카페베이커리과 / 방송연예콘텐츠과,공업계/IT,B100000613,02-960-1495,02-960-1495,02-967-0178,02-3295-4393,02-965-9155
서울컨벤션고등학교,특성화고,사립,서울특별시교육청,seoul-chs.sen.hs.kr/,134080,서울 강동구 고덕동,295-1,서울특별시,강동구,고덕동,컨벤션비즈니스과 / 컨벤션외식조리과 / 미디어사운드과 / 베이커리카페과 / 관광레저과,상업계,B100000606,02-3427-6311,02-3427-6315,02-3427-7400,,02-3427-7722
서일문화예술고등학교,특성화고,사립,서울특별시교육청,seoil.sen.hs.kr,03094,서울특별시 종로구 지봉로17길 49,(창신동),서울특별시,종로구,지봉로17길,외식베이커리과 / 뮤지컬연기과 / 식음료도제과 / 제빵도제과,서비스/생활,B100000644,02-763-4634,02-743-0469,02-763-6242,02-763-6247,02-765-8573
선린인터넷고등학교,특성화고,공립,서울특별시교육청,sunrint.sen.hs.kr,04314,서울특별시 용산구 원효로97길 33-4,선린인터넷고등학교,서울특별시,용산구,원효로97길,콘텐츠디자인과 / 소프트웨어과 / IT경영과 / 정보보호과,공업계/IT,B100000658,02-713-6212,02-713-6213,02-713-6211,02-718-0797,02-718-8696
선일빅데이터고등학교,특성화고,사립,서울특별시교육청,bigdata.sen.hs.kr/,122050,서울 은평구 갈현동,240-1,서울특별시,은평구,갈현동,빅데이터소셜마케팅과 / 빅데이터소셜미디어과 / 웹툰일러스트 / 빅데이터마케팅 / 쇼핑라이브 / 방송미디어,공업계/IT,B100000608,02-355-5648,02-353-0453,02-355-8861,02-355-9201,02-355-7656
선정국제관광고등학교,특성화고,사립,서울특별시교육청,sjt.sen.hs.kr,03327,서울특별시 은평구 서오릉로20길 19,선정국제관광고등학교 (갈현동),서울특별시,은평구,서오릉로20길,호텔항공과 / 관광콘텐츠과 / 간호과 / 호텔항공관광과,공업계/IT,B100000616,02-3156-1610,02-3156-1613,02-3156-1722,02-3156-1641,02-352-5073
성동공업고등학교,특성화고,공립,서울특별시교육청,sdth.sen.hs.kr,100878,서울 중구 흥인동,1-1 (다산로 290),서울특별시,중구,흥인동,전자과 / 전기과 / 건축토목과 / 스마트팩토리과 / 패션주얼리디자인과 / 소방안전기계 / 소방시설관리 / 도시건축디자인,공업계/IT,B100000591,02-6263-8200,02-6263-8202,070-8685-7702,02-6263-8212,02-2237-0814
성동글로벌경영고등학교,특성화고,공립,서울특별시교육청,sdglobal.sen.hs.kr,100889,서울 중구 신당1동,퇴계로 357번지,서울특별시,중구,신당1동,패션디자인과 / 문화콘텐츠디자인과 / 세무행정과 / 반려동물케어과 / 창업경영과,공업계/IT,B100000617,02-2238-4034,02-2252-9567,02-2252-1932,02-2254-2697,02-2232-7150
성암국제무역고등학교,특성화고,사립,서울특별시교육청,seongam.sen.hs.kr,01174,서울특별시 강북구 도봉로29길 52,(미아동 320-1),서울특별시,강북구,도봉로29길,미주무역과 / 중국무역과 / 일본무역과 / 국제문화콘텐츠과,공업계/IT,B100000645,02-2179-1800,02-2179-1820,02-2179-1817,02-2179-1873,02-2179-1878
세그루패션디자인고등학교,특성화고,사립,서울특별시교육청,sfd.sen.hs.kr,01375,서울특별시 도봉구 시루봉로 53,세그루패션디자인고등학교,서울특별시,도봉구,시루봉로,비주얼MD과 / 미디어디자인과 / 패션제품디자인과 / 의상패션디자인과 / 뷰티패션과,서비스/생활,B100000618,02-993-0041,02-993-0114,02-993-6696,070-5023-1532,02-998-7912
세명컴퓨터고등학교,특성화고,사립,서울특별시교육청,smc.sen.hs.kr,122867,서울특별시 은평구 불광동 통일로92가길,33 세명컴퓨터 고등학교,서울특별시,은평구,불광동,스마트보안솔루션과 / 게임소프트웨어과 / 디바이스소프트웨어과 / 인공지능소프트웨어과 / 모빌리티메이커과,공업계/IT,B100000659,02-354-1321,02-354-1323,02-354-1322,02-352-6800,02-357-1381
송곡관광고등학교,특성화고,사립,서울특별시교육청,www.sgi.hs.kr,131800,서울특별시 중랑구 망우동 양원역로,67,서울특별시,중랑구,망우동,조리과학과 / 호텔관광과 / 카페디저트과,서비스/생활,B100000647,02-6077-9401,02-432-1837,02-433-2183,02-6077-9440,02-491-2995
수도전기공업고등학교,마이스터고,사립,서울특별시교육청,sudo.sen.hs.kr,06324,서울특별시 강남구 개포로 410,수도전기공업고등학교,서울특별시,강남구,개포로,에너지정보통신과 / 에너지기계과 / 에너지전자제어과 / 전기에너지과,공업계/IT,B100000594,02-524-9801,02-524-9830,02-524-9860,02-524-9890,070-4673-9940
신진과학기술고등학교,특성화고,사립,서울특별시교육청,shinjin.hs.kr,03453,서울특별시 은평구 은평로6길 16,신진과학기술고등학교,서울특별시,은평구,은평로6길,인공지능자동화과 / 호텔조리과 / 스마트건설과 / 미래자동차과 / 호텔디저트경영과,공업계/IT,B100000595,02-355-6709,02-385-3451,02-383-3481,02-384-6364,02-389-8893
염광메디텍고등학교,특성화고,사립,서울특별시교육청,ykm.sen.hs.kr,01874,서울특별시 노원구 월계로45가길 9,염광메디텍고등학교,서울특별시,노원구,월계로45가길,보건간호과 / 메디컬스킨케어 / 바이오코스메틱과 / 메디컬뷰티과,공업계/IT,B100000649,02-994-3101,02-994-3105,02-994-3104,02-996-3104,02-903-2813
영등포공업고등학교,특성화고,사립,서울특별시교육청,younggong.sen.hs.kr,07524,서울특별시 강서구 허준로5길 15,영등포공업고등학교,서울특별시,강서구,허준로5길,스포츠과학시설과 / 공간디자인과 / 스마트전기과 / 스마트기계과,공업계/IT,B100000596,070-5068-4706,070-5068-4710(구내110번),02-2659-2986,070-5068-4727(구내222번),02-2659-2980
영락의료과학고등학교,특성화고,사립,서울특별시교육청,youngnak-c.sen.hs.kr,151918,서울특별시 관악구 청룡동,청룡16길 25,서울특별시,관악구,청룡동,의료IT / 의료비즈니스 / 보건간호 / 건강과학과 / 의료미용과,상업계,B100000611,02-876-8650,02-884-0760 / 0766,02-884-1882,02-884-1883,02-876-2709
영신간호비즈니스고등학교,특성화고,사립,서울특별시교육청,youngshin.sen.hs.kr,139855,서울특별시 노원구 중계동 중계로16나길,13,서울특별시,노원구,중계동,보건간호과 / 보건뷰티과 / 웰빙베이커리과 / 영상그래픽디자인과 / 보건코디네이터과 / 스마트의료간호과,서비스/생활,B100000619,02-2289-0310,02-2289-0320,02-2289-0306,02-2289-0386,02-3391-5367
예림디자인고등학교,특성화고,사립,서울특별시교육청,yerim.sen.hs.kr,152883,서울특별시 구로구 궁동 오리로21길,예림디자인고등학교,서울특별시,구로구,궁동,시각디자인과 / 콘텐츠디자인과 / 만화애니메이션 / 패션스타일리스트 / 게임그래픽디자인과,공업계/IT,B100000632,02-2618-4644,02-2617-2333~4,02-2688-3515,02-2617-2336,070-4015-2336
예일디자인고등학교,특성화고,사립,서울특별시교육청,yaledesign.sen.hs.kr,03412,서울특별시 은평구 연서로 117,예일디자인고등학교,서울특별시,은평구,연서로,웹콘텐츠디자인과 / 3D공간제품디자인과 / 패션·스타일과 / 시각디자인과,공업계/IT,B100000620,02-380-0850,02-380-0865,02-380-0999,02-380-0870,02-380-0880
용산철도고등학교,특성화고,공립,서울특별시교육청,yongsan-th.sen.hs.kr,140883,서울특별시 용산구 한강로3가 서빙고로24길,용산철도고등학교,서울특별시,용산구,한강로3가,자동차과 / 공조설비과 / 철도운전기계과 / 철도전기신호과 / 철도전자통신과 / 철도건설과 / 철도운영사무과,공업계/IT,B100000597,02-6905-7701,02-6905-7705,02-6905-7700,02-6905-7730~5,02-6905-7786
유한공업고등학교,특성화고,사립,서울특별시교육청,yuhan.sen.hs.kr,08360,서울특별시 구로구 경인로 8,유한공업고등학교,서울특별시,구로구,경인로,건축디자인과 / 로봇전기과 / 자동화시스템과 / 스마트제어과,공업계/IT,B100000598,02-2610-0950,02-2610-0952,02-0610-0990,"02-2610-0966, 0967, 0983",02-2612-9348
은평메디텍고등학교,특성화고,사립,서울특별시교육청,eunpyeong.sen.hs.kr,122200,서울특별시 은평구 진관동 진관2로,57-57,서울특별시,은평구,진관동,보건간호과 / 건강조리과 / e스포츠과 / SMT코딩과,서비스/생활,B100000515,070-4020-6806,070-4020-6876,070-4020-6801,070-4020-6864,02-358-1622
이화여자대학교병설미디어고등학교,특성화고,사립,서울특별시교육청,ewhamedia.hs.kr,131802,서울특별시 중랑구 망우동 망우로73길,56 이화여자대학병설미디어고등학교,서울특별시,중랑구,망우동,공통 / 국제경영 / 영상정보 / 디자인,공업계/IT,B100000650,,02-2209-0146-7,02-2209-0142,02-2209-2684,02-437-2806
인덕과학기술고등학교,특성화고,사립,서울특별시교육청,induk.sen.hs.kr,139749,서울특별시 노원구 월계동 초안산로,12,서울특별시,노원구,월계동,미래자동차과 / 스마트기계과 / 도시공간건설과 / 캐릭터디자인과 / 실내건축과,공업계/IT,B100000600,02-902-2134,02-902-2180,02-902-2135,02-902-2060(교환 247번),02-996-9277
일신여자상업고등학교,특성화고,사립,서울특별시교육청,ilshin.sen.hs.kr,138854,서울특별시 송파구 송파동 송파대로38길,8,서울특별시,송파구,송파동,금융정보과 / 회계정보과 / 디자인콘텐츠과 / 스마트펫경영과,공업계/IT,B100000612,02-2140-8230,"02-2140-8231,8232",02-2140-8220,"02-2140-8255,8189",02-2140-8257
한강미디어고등학교,특성화고,공립,서울특별시교육청,hm.sen.hs.kr,150867,서울특별시 영등포구 양평동4가 선유로55길,22,서울특별시,영등포구,양평동4가,산업디자인과 / 사진영상과 / 웹미디어콘텐츠과 / 방송미디어과,공업계/IT,B100000550,02-2677-5325,02-2671-1448,02-2633-9101,02-2671-0217,02-2633-9102
한세사이버보안고등학교,특성화고,사립,서울특별시교육청,hansei.sen.hs.kr,04129,서울특별시 마포구 마포대로11길 44-80,한세사이버보안고등학교,서울특별시,마포구,마포대로11길,메타버스게임과 / 클라우드보안과 / 지능형소프트웨어,공업계/IT,B100000662,02-362-0133,02-362-0130-2,02-362-0134,02-362-9757,02-312-3996
한양공업고등학교,특성화고,사립,서울특별시교육청,hanyang.sen.hs.kr,100450,서울특별시 중구 신당동 을지로,299,서울특별시,중구,신당동,스마트건설정보과 / 디지털건축과 / 스마트융합기계과 / 스마트전자과 / 친환경자동차과 / AI컴퓨터과학과,공업계/IT,B100000601,070-4832-3801,02-2238-5181,070-4832-3980,070-4832-3896,02-2235-3154
해성국제컨벤션고등학교,특성화고,사립,서울특별시교육청,haesung.sen.hs.kr,130850,서울특별시 동대문구 전농동 전농로20길,31,서울특별시,동대문구,전농동,국제전시경영과 / 컨벤션영어과 / 컨벤션경영과 / 항공호텔과 / 방송공연과,공업계/IT,B100000614,070-8786-1301,070-8786-1320,070-8786-1317,070-8786-1330,02-2214-1958
홍익디자인고등학교,특성화고,사립,서울특별시교육청,hid.sen.hs.kr,03977,서울특별시 마포구 성미산로 111,홍익디자인고등학교,서울특별시,마포구,성미산로,멀티미디어디자인과 / 시각디자인과 / 영상애니메이션과,서비스/생활,B100000615,02-3140-1255,02-3140-1257,02-3140-1309,02-3140-1303,02-3140-1340
화곡보건경영고등학교,특성화고,사립,서울특별시교육청,hwagok-gii.sen.hs.kr,157280,서울특별시 강서구 내발산동 강서로45길,70,서울특별시,강서구,내발산동,간호과 / 뷰티아트과 / 콘텐츠크리에이터,공업계/IT,B100000655,07086446501,070-8644-6316,07086446501,07086446327,02-2662-2120
경남공업고등학교,특성화고,공립,부산광역시교육청,knt.hs.kr,614040,부산 부산진구 전포동,전포대로 175번길 22,부산광역시,부산진구,전포동,화학공업과 / 전기전자과 / 건축토목과 / 기계과 / 신소재디자인과,공업계/IT,C100000344,051-607-7311,"051-607-7321,7322","051-607-7471,7472","051-607-7391,7392,7355",051-804-6904
경성전자고등학교,특성화고,사립,부산광역시교육청,kse.hs.kr,602093,부산 서구 서대신동3가,184번지,부산광역시,서구,서대신동3가,IOT전기과 / 전자제어과 / 게임콘텐츠과,공업계/IT,C100000349,051-253-2455,051-253-2450,051-253-2454,051-243-6220,051-255-0472
